Query	Closest-1	Closest-2	Closest-3
Is the "l" in "salmon" supposed to be pronounced? Why?	Is the "l" in "salmon" supposed to be pronounced? Why?	What is the hardest thing(s) about raising children in Venezuela?	Why do some clothing stores play extremely loud music?
Why my photos on instagram have been deleted after I disable my account?	Can you tell if someone else has logged into your Instagram account?	Is it possible to see the pictures you've deleted on Instagram?	Is it possible to see the pictures you've deleted on Instagram?
Where do you find true love?	How do you find true love?	How do you find a true love?	How do you find true love?
Which is the best gaming laptop under Rs.60000 in India?	Which is the best gaming laptop under Rs.60000 in India?	Which is the best laptop under Rs 60000 for gaming in India?	Which is the best laptop under Rs 60000 for gaming in India?
What is “Flipkart Assured” ?	What is “Flipkart Assured” ?	Why India is big loser in Olympics?	Why India is big loser in Olympics?
What is an ethernet cable? What are its functions?	What is an ethernet cable? What are its functions?	What is an ethernet cable? What are its functions?	What is an ethernet cable? What are its functions?
How would you know how much torque a truck has?	How would you know how much torque a truck has?	How would you know how much torque a truck has?	Why does my baby look up so much?
What is meant by ARP? Why is it difficult to obtain tickets in rail booking?	Is there a public login for anyone so they can use the mango languages platform?	Can a Nepali citizen get an Indian driving license?	What are the top universities in USA offering MS in bioinformatics in one year?
How does the human eye sense different wavelengths of light?	What are the best World War II documentaries?	What are the best World War II documentaries?	How can find upper and lower limits in Microsoft Excel?
How do I become a millionaire in IT?	How I can become a millionaire?	What can I do to become a millionaire?	How I can become a millionaire?
How do I invest in myself?	How do I invest in myself?	Why should I invest?	What should I do to explore myself?
What is the difference between MD, CEO and chairman?	How can l find my goal in life?	Why can't we use "her" instead of "hers", in the sentence "i prefer your help to hers"?	Could you describe what is love in one word?
How can I generate a PDF when clicking a submit button in JSP?	What does it feel like being at Allen Leaders Batch Kota?	What is the infant mortality rate for Europe?	What is the infant mortality rate for Europe?
What are the pros and cons of agriculture?	What are the pros and cons of agriculture?	What is something crazy that your neighbor has done?	What is something crazy that your neighbor has done?
What is the best gas blowback airsoft rifle? Why is it considered the best?	What is the best gas blowback airsoft rifle? Why is it considered the best?	What two colors mixed together make peach?	What two colors mixed together make peach?
What happens when the WLAN service is not working?	What are some other ways to say "as mentioned previously" in a formal text?	Will gaining muscle mess up my tattoo?	What's the best way to remove a fish bone stuck in your throat?
